customer_id,full_name,email,phone,city,annual_income,segment,first_name,last_name
cust102960,rahul agarwal,rahul.gupta474@gmail.com,8816961399,ahmedabad,175493,mid,rahul,agarwal
cust100793,akbir kapoor,vihaan.kulkarni779@outlook.com,2773855351,surrat,127729,mid,akbir,kapoor
cust101102,sachin kulkarni,anita.kulkarni860@gmail.com,4919670188,noida,142655,premium,sachin,kulkarni
cust100259,kabir singh,sachin.iyer853@yahoo.com,3209292225,bengluru,237286,premium,kabir,singh
cust102872,aditi iyer,arjun.kapoor526@gmail.com,109782905,chennai,85352,budget,aditi,iyer
cust100548,rahul chopra,kabir.sharma574@gmail.com,5324268986,hyderabad,212507,premium,rahul,chopra
cust101786,vivaan mehta,rohan.kulkarni259@outlook.com,5659994174,pune,200001,budget,vivaan,mehta
cust100202,kabir patel,,8318632013,surat,68533,budget,kabir,patel
cust101133,aditi nair,ishaan.patel249@outlook.com,7346332390,mumbaai,189115,luxury,aditi,nair
cust103945,rahul khan,,2267744526,bangalore,78202,mid,rahul,khan
cust102959,ishaan patel,diya.gupta549@yahoo.com,9678518534,nodia,294383,luxury,ishaan,patel
cust102288,anita shah,arjun.kulkarni149@example.com,9788500999,hydrabad,338397,luxury,anita,shah
cust102295,rahul shah,anita.das295@example.com,8838794184,kolkata,415511,budget,rahul,shah
cust104828,vivaan kulkarni,sneha.patel919@example.com,4617497662,bangalore,87456,mid,vivaan,kulkarni
cust100235,priya chopra,ishaan.reddy59@yahoo.com,1327017104,ahmedabad,328679,budget,priya,chopra
cust102241,ishaan nair,rahul.reddy368@example.com,6693302508,surat,371468,budget,ishaan,nair
cust100070,kabir shah,anita.khan326@yahoo.com,880200329,kolkata,399746,budget,kabir,shah
cust104802,vivaan mehta,aarav.iyer165@gmail.com,5278308165,nodia,39689,luxury,vivaan,mehta
cust100660,diya iyre,kabir.gupta183@yahoo.com,7238448668,bangalore,82405,luxury,diya,iyre
cust103962,anaya sharma,aarav.chopra865@example.com,7130674606,hyderbad,183035,mid,anaya,sharma
cust104236,anaya khan,vihaan.kulkarni249@example.com,4342776298,mumbai,91296,luxury,anaya,khan
cust101035,anita khan,vihaan.kapoor856@outlook.com,8341929334,noida,238638,luxury,anita,khan
cust102932,aditi patel,sachin.mehta198@gmail.com,1813813053,jaypur,228886,mid,aditi,patel
cust103957,anita kapoor,rahul.sharma271@yahoo.com,7336619093,chennai,63819,mid,anita,kapoor
cust102580,diya mehta,aditi.sharma844@outlook.com,171145233,ahemdabad,201254,budget,diya,mehta
cust101696,kabir patel,diya.khan609@gmail.com,7886563845,hydrabad,83326,mid,kabir,patel
cust102537,anaya agarwal,aditi.das826@gmail.com,6373085915,poona,368733,luxury,anaya,agarwal
cust103346,rohan chopra,kabir.shah989@example.com,2105435631,mumbai,97272,mid,rohan,chopra
cust101084,diya iyer,sachin.sharma438@yahoo.com,6055564424,chennnai,112788,mid,diya,iyer
cust103014,rahul kapoor,diya.gupta307@example.com,1572333498,hydrabad,109531,luxury,rahul,kapoor
